region,site_campus_unique_ID
north-central,ANDREW_MOLERA_UC UCSC
north-central,ASILOMAR_DC UCSC
north-central,ASILOMAR_UC UCSC
north-central,BIG_CREEK_DC UCSC
north-central,BIG_CREEK_UC UCSC
north-central,BIRD_ROCK UCSC
north-central,BUCHON UCSC
north-central,BUTTERFLY_DC UCSC
north-central,BUTTERFLY_UC UCSC
north-central,CAMBRIA_DC UCSC
north-central,CAMBRIA_UC UCSC
north-central,CANNERY_DC UCSC
north-central,CANNERY_UC UCSC
north-central,CAYUCOS_DC UCSC
north-central,CAYUCOS_UC UCSC
north-central,CHINA_ROCK UCSC
north-central,CROWBAR UCSC
north-central,CYPRESS_PT_UC UCSC
north-central,ESTERO UCSC
north-central,GREEN_PEAK UCSC
north-central,HARMONY UCSC
north-central,HOPKINS_DC UCSC
north-central,HOPKINS_UC UCSC
north-central,JALAMA_N UCSB
north-central,JALAMA_S UCSB
north-central,LA_CRUZ_DC UCSC
north-central,LA_CRUZ_UC UCSC
north-central,LITTLE_IRISH_DC UCSC
north-central,LITTLE_IRISH_UC UCSC
north-central,LONE_TREE UCSC
north-central,LOPEZ_DC UCSC
north-central,LOVERS_DC UCSC
north-central,LOVERS_UC UCSC
north-central,MACABEE_DC UCSC
north-central,MACABEE_UC UCSC
north-central,MALPASO UCSC
north-central,MONASTERY_DC UCSC
north-central,MONTANA_DE_ORO UCSC
north-central,OTTER_PT_DC UCSC
north-central,OTTER_PT_UC UCSC
north-central,PESCADERO_DC UCSC
north-central,PESCADERO_UC UCSC
north-central,PINNACLES_IN UCSC
north-central,PINNACLES_OUT UCSC
north-central,PINOS UCSC
north-central,PT_JOE UCSC
north-central,SAN_SIMEON_DC UCSC
north-central,SAN_SIMEON_UC UCSC
north-central,SANDHILL_UC UCSC
north-central,SIREN UCSC
north-central,SOUTH_WRECK_DC UCSC
north-central,SOUTH_WRECK_UC UCSC
north-central,SPANISH_BAY_DC UCSC
north-central,SPANISH_BAY_UC UCSC
north-central,STILLWATER_DC UCSC
north-central,STILLWATER_UC UCSC
north-central,TERRACE_DC UCSC
north-central,WESTON_DC UCSC
north-central,WESTON_UC UCSC
north-central,WHITE_ROCK_UC UCSC
north-central,Fort Ross
north-central,Gerstle Cove
north-central,Mendocino Headlands
north-central,Ocean Cove
north-central,Point Arena MPA (M2)
north-central,Point Arena Ref
north-central,Portuguese Beach
north-central,Stillwater Sonoma
north-central,Stornetta
north-central,Van Damme
